Date,Buying
2012-08-17,273.2097
2012-08-18,272.89676
2012-08-19,272.89676
2012-08-20,274.3026
2012-08-21,273.6787
2012-08-22,274.3431
2012-08-23,274.5366
2012-08-24,274.652
2012-08-25,274.3026
2012-08-26,274.3026
2012-08-27,275.0954
2012-08-28,275.8586
2012-08-29,277.2261
2012-08-30,277.9472
2012-08-31,278.1929
2012-09-01,276.86404000000005
2012-09-02,276.86404000000005
2012-09-03,278.982
2012-09-04,280.3523
2012-09-05,281.5257
2012-09-06,283.7637
2012-09-07,285.4665
2012-09-08,282.01804000000004
2012-09-09,282.01804000000004
2012-09-10,286.5529
2012-09-11,287.048
2012-09-12,287.6144
2012-09-13,288.204
2012-09-14,289.7625
2012-09-15,287.83636
2012-09-16,287.83636
2012-09-17,290.5336
2012-09-18,290.9539
2012-09-19,291.6208
2012-09-20,292.3953
2012-09-21,292.8422
2012-09-22,291.66916000000003
2012-09-23,291.66916000000003
2012-09-24,293.2567
2012-09-25,293.6509
2012-09-26,293.9606
2012-09-27,294.3443
2012-09-28,295.9816
2012-09-29,294.23882
2012-09-30,294.23882
2012-10-01,298.385
2012-10-02,300.9057
2012-10-03,301.8105
2012-10-04,302.776
2012-10-05,303.6165
2012-10-06,301.49874
2012-10-07,301.49874
2012-10-08,304.1116
2012-10-09,304.6991
2012-10-10,305.3587
2012-10-11,305.5391
2012-10-12,306.0097
2012-10-13,305.14364
2012-10-14,305.14364
2012-10-15,307.723675
2012-10-16,306.8831
2012-10-17,307.6855
2012-10-18,307.9586
2012-10-19,308.3675
2012-10-20,307.723675
2012-10-21,307.723675
2012-10-22,308.6813
2012-10-23,309.0824
2012-10-24,309.6064
2012-10-25,309.7668
2012-10-26,309.9401
2012-10-27,309.4154
2012-10-28,309.4154
2012-10-29,310.3249
2012-10-30,310.8625
2012-10-31,311.1886
2012-11-01,311.3298
2012-11-02,311.6532
2012-11-03,311.0718
2012-11-04,311.0718
2012-11-05,312.1192
2012-11-06,314.1187
2012-11-07,314.7287
2012-11-08,317.2369
2012-11-09,317.9697
2012-11-10,315.23464
2012-11-11,315.23464
2012-11-12,320.4209
2012-11-13,320.7484
2012-11-14,320.8071
2012-11-15,320.44
2012-11-16,320.1851
2012-11-17,320.5203
2012-11-18,320.5203
2012-11-19,320.3426
2012-11-20,320.4283
2012-11-21,320.6414
2012-11-22,321.0895
2012-11-23,321.4345
2012-11-24,320.78725999999995
2012-11-25,320.78725999999995
2012-11-26,321.7923
2012-11-27,322.6047
2012-11-28,322.7329
2012-11-29,322.9102
2012-11-30,322.8045
2012-12-01,322.56892
2012-12-02,322.56892
2012-12-03,322.9652
2012-12-04,323.6078
2012-12-05,323.6876
2012-12-06,323.9091
2012-12-07,324.2504
2012-12-08,323.68402000000003
2012-12-09,323.68402000000003
2012-12-10,324.8045
2012-12-11,325.5811
2012-12-12,326.6418
2012-12-13,326.6111
2012-12-14,327.0866
